时间,PB市值加权值
2014/12/31,1.8998
2014/12/26,1.8279
2014/12/19,1.7805
2014/12/12,1.6335
2014/12/5,1.6497
2014/11/28,1.4629
2014/11/21,1.3386
2014/11/14,1.348
2014/11/7,1.3002
2014/10/31,1.3078
2014/10/24,1.3047
2014/10/17,1.3437
2014/10/10,1.3569
2014/9/30,1.3527
2014/9/26,1.3477
2014/9/19,1.3453
2014/9/12,1.3496
2014/9/5,1.3572
2014/8/29,1.3026
2014/8/22,1.3396
2014/8/15,1.3489
2014/8/8,1.3382
2014/8/1,1.3404
2014/7/25,1.2992
2014/7/18,1.2507
2014/7/11,1.2378
2014/7/4,1.2443
2014/6/27,1.2272
2014/6/20,1.2188
2014/6/13,1.2164
2014/6/6,1.1906
2014/5/30,1.1923
2014/5/23,1.1883
2014/5/16,1.183
2014/5/9,1.1728
2014/4/30,1.1819
2014/4/25,1.2266
2014/4/18,1.2652
2014/4/11,1.293
2014/4/4,1.2495
2014/3/28,1.2462
2014/3/21,1.2569
2014/3/14,1.2374
2014/3/7,1.2666
2014/2/28,1.2755
2014/2/21,1.3116
2014/2/14,1.3165
2014/2/7,1.2756
2014/1/30,1.2732
2014/1/24,1.2931
2014/1/17,1.2705
2014/1/10,1.2787
2014/1/3,1.3206
2013/12/27,1.3328
2013/12/20,1.3174
2013/12/13,1.3583
2013/12/6,1.3906
2013/11/29,1.3766
2013/11/22,1.3676
2013/11/15,1.3328
2013/11/8,1.3179
2013/11/1,1.3464
2013/10/25,1.3799
2013/10/18,1.4186
2013/10/11,1.4399
2013/9/30,1.4128
2013/9/27,1.4065
2013/9/18,1.427
2013/9/13,1.4577
2013/9/6,1.3854
2013/8/30,1.3676
2013/8/23,1.3862
2013/8/16,1.4083
2013/8/9,1.3975
2013/8/2,1.3843
2013/7/26,1.3724
2013/7/19,1.3614
2013/7/12,1.3983
2013/7/5,1.3698
2013/6/28,1.3272
2013/6/21,1.3642
2013/6/14,1.4166
2013/6/7,1.448
2013/5/31,1.4937
2013/5/24,1.4897
2013/5/17,1.4919
2013/5/10,1.4709
2013/5/3,1.4479
2013/4/26,1.4594
2013/4/19,1.5373
2013/4/12,1.5134
2013/4/3,1.526
2013/3/29,1.5323
2013/3/22,1.6355
2013/3/15,1.6076
2013/3/8,1.63
2013/3/1,1.6628
2013/2/22,1.6356
2013/2/8,1.7315
2013/2/1,1.7299
2013/1/25,1.6311
2013/1/18,1.6447
2013/1/11,1.5989
2013/1/4,1.6279
2012/12/28,1.5836
2012/12/21,1.5287
2012/12/14,1.5295
2012/12/7,1.4646
2012/11/30,1.4086
2012/11/23,1.4299
2012/11/16,1.4236
2012/11/9,1.4608
2012/11/2,1.4902
2012/10/26,1.5034
2012/10/19,1.5557
2012/10/12,1.5409
2012/9/28,1.5276
2012/9/21,1.4754
2012/9/14,1.5377
2012/9/7,1.5415
2012/8/31,1.4897
2012/8/24,1.5619
2012/8/17,1.6008
2012/8/10,1.647
2012/8/3,1.6288
2012/7/27,1.6201
2012/7/20,1.6495
2012/7/13,1.6635
2012/7/6,1.6857
2012/6/29,1.6616
2012/6/21,1.6758
2012/6/15,1.6995
2012/6/8,1.6612
2012/6/1,1.7131
2012/5/25,1.6827
2012/5/18,1.6863
2012/5/11,1.7281
2012/5/4,1.7737
2012/4/27,1.7716
2012/4/20,1.8092
2012/4/13,1.7833
2012/4/6,1.7501
2012/3/30,1.7282
2012/3/23,1.8221
2012/3/16,1.8752
2012/3/9,1.9027
2012/3/2,1.9298
2012/2/24,1.9162
2012/2/17,1.8566
2012/2/10,1.86
2012/2/3,1.85
2012/1/20,1.8484
2012/1/13,1.7863
2012/1/6,1.7252
2011/12/30,1.7202
2011/12/23,1.7231
2011/12/16,1.7345
2011/12/9,1.7945
2011/12/2,1.8206
2011/11/25,1.8253
2011/11/18,1.8504
2011/11/11,1.9014
2011/11/4,1.9401
